model,role,zero_tolerance_failures,zero_tolerance_upper_95_fail_rate,eligible,eligibility_state
openai:gpt-5.5,atomic_card_extractor,9,0.3382325131392945,False,failed_safety
openai:gpt-5.5,conflict_candidate_detector,0,0.09090909090909091,False,insufficient_sample
openai:gpt-5.5,conflict_explainer,24,0.8493272734367718,False,failed_safety
openai:gpt-5.5,debug_explainer,0,0.125,False,insufficient_sample
openai:gpt-5.5,durability_filter,0,0.03333333333333333,False,failed_quality
openai:gpt-5.5,entity_candidate_ranker,6,0.8794184013172571,False,failed_safety
openai:gpt-5.5,entity_mention_extractor,0,0.02631578947368421,True,eligible
openai:gpt-5.5,eval_judge,0,0.25,False,insufficient_sample
openai:gpt-5.5,groundedness_checker,0,0.08333333333333333,True,eligible
openai:gpt-5.5,intent_router,0,0.017543859649122806,True,eligible
openai:gpt-5.5,memory_kind_classifier,0,0.02857142857142857,True,eligible
openai:gpt-5.5,open_loop_detector,0,0.02857142857142857,False,failed_quality
openai:gpt-5.5,recall_planner,0,0.07142857142857142,True,eligible
openai:gpt-5.5,recall_synthesizer,0,0.08333333333333333,False,insufficient_sample
openai:gpt-5.5,relationship_extractor,0,0.02857142857142857,True,eligible
openai:gpt-5.5,repair_option_generator,0,0.024390243902439025,True,eligible
openai:gpt-5.5,source_classifier,17,0.24406387085465026,False,failed_safety
openai:gpt-5.5,source_takeaway_extractor,6,0.2617758224129731,False,failed_safety
openai:gpt-5.5,table_policy_handler,8,0.3133010684365413,False,failed_safety
